ticker,name,sector,規模区分
4733.T,オービックビジネスコンサルタント,情報・通信業,TOPIX Mid400
4751.T,サイバーエージェント,サービス業,TOPIX Mid400
4755.T,楽天グループ,サービス業,TOPIX Mid400
4768.T,大塚商会,情報・通信業,TOPIX Mid400
4887.T,サワイグループホールディングス,医薬品,TOPIX Mid400
4901.T,富士フイルムホールディングス,化学,TOPIX Large70
4902.T,コニカミノルタ,電気機器,TOPIX Mid400
4911.T,資生堂,化学,TOPIX Mid400
4912.T,ライオン,化学,TOPIX Mid400
4922.T,コーセーホールディングス,化学,TOPIX Mid400
4927.T,ポーラ・オルビスホールディングス,化学,TOPIX Mid400
4967.T,小林製薬,化学,TOPIX Mid400
4980.T,デクセリアルズ,化学,TOPIX Mid400
5016.T,ＪＸ金属,非鉄金属,TOPIX Mid400
5019.T,出光興産,石油・石炭製品,TOPIX Mid400
5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,TOPIX Large70
5021.T,コスモエネルギーホールディングス,石油・石炭製品,TOPIX Mid400
5076.T,インフロニア・ホールディングス,建設業,TOPIX Mid400
5101.T,横浜ゴム,ゴム製品,TOPIX Mid400
5105.T,ＴＯＹＯ　ＴＩＲＥ,ゴム製品,TOPIX Mid400
5108.T,ブリヂストン,ゴム製品,TOPIX Large70
5110.T,住友ゴム工業,ゴム製品,TOPIX Mid400
5201.T,ＡＧＣ,ガラス・土石製品,TOPIX Mid400
5214.T,日本電気硝子,ガラス・土石製品,TOPIX Mid400
5232.T,住友大阪セメント,ガラス・土石製品,TOPIX Mid400
5233.T,太平洋セメント,ガラス・土石製品,TOPIX Mid400
5301.T,東海カーボン,ガラス・土石製品,TOPIX Mid400
5332.T,ＴＯＴＯ,ガラス・土石製品,TOPIX Mid400
5333.T,日本碍子,ガラス・土石製品,TOPIX Mid400
5334.T,日本特殊陶業,ガラス・土石製品,TOPIX Mid400
5344.T,ＭＡＲＵＷＡ,ガラス・土石製品,TOPIX Mid400
5393.T,ニチアス,ガラス・土石製品,TOPIX Mid400
5401.T,日本製鉄,鉄鋼,TOPIX Large70
5406.T,神戸製鋼所,鉄鋼,TOPIX Mid400
5411.T,ＪＦＥホールディングス,鉄鋼,TOPIX Mid400
5444.T,大和工業,鉄鋼,TOPIX Mid400
5463.T,丸一鋼管,鉄鋼,TOPIX Mid400
5471.T,大同特殊鋼,鉄鋼,TOPIX Mid400
5631.T,日本製鋼所,機械,TOPIX Mid400
5706.T,三井金属,非鉄金属,TOPIX Mid400
5711.T,三菱マテリアル,非鉄金属,TOPIX Mid400
5713.T,住友金属鉱山,非鉄金属,TOPIX Mid400
5714.T,ＤＯＷＡホールディングス,非鉄金属,TOPIX Mid400
5801.T,古河電気工業,非鉄金属,TOPIX Mid400
5802.T,住友電気工業,非鉄金属,TOPIX Large70
5803.T,フジクラ,非鉄金属,TOPIX Large70
5830.T,いよぎんホールディングス,銀行業,TOPIX Mid400
5831.T,しずおかフィナンシャルグループ,銀行業,TOPIX Mid400
5832.T,ちゅうぎんフィナンシャルグループ,銀行業,TOPIX Mid400
5838.T,楽天銀行,銀行業,TOPIX Mid400
5844.T,京都フィナンシャルグループ,銀行業,TOPIX Mid400
5901.T,東洋製罐グループホールディングス,金属製品,TOPIX Mid400
5929.T,三和ホールディングス,金属製品,TOPIX Mid400
5938.T,ＬＩＸＩＬ,金属製品,TOPIX Mid400
5947.T,リンナイ,金属製品,TOPIX Mid400
5991.T,日本発條,金属製品,TOPIX Mid400
6005.T,三浦工業,機械,TOPIX Mid400
6098.T,リクルートホールディングス,サービス業,TOPIX Core30
6113.T,アマダ,機械,TOPIX Mid400
6134.T,ＦＵＪＩ,機械,TOPIX Mid400
6136.T,オーエスジー,機械,TOPIX Mid400
6141.T,ＤＭＧ森精機,機械,TOPIX Mid400
6146.T,ディスコ,機械,TOPIX Large70
6178.T,日本郵政,サービス業,TOPIX Large70
6201.T,豊田自動織機,輸送用機器,TOPIX Large70
6268.T,ナブテスコ,機械,TOPIX Mid400
6269.T,三井海洋開発,機械,TOPIX Mid400
6273.T,ＳＭＣ,機械,TOPIX Large70
6301.T,小松製作所,機械,TOPIX Large70
6302.T,住友重機械工業,機械,TOPIX Mid400
6305.T,日立建機,機械,TOPIX Mid400
6323.T,ローツェ,機械,TOPIX Mid400
6326.T,クボタ,機械,TOPIX Large70
6361.T,荏原製作所,機械,TOPIX Mid400
6367.T,ダイキン工業,機械,TOPIX Core30
6368.T,オルガノ,機械,TOPIX Mid400
6370.T,栗田工業,機械,TOPIX Mid400
6383.T,ダイフク,機械,TOPIX Mid400
6417.T,ＳＡＮＫＹＯ,機械,TOPIX Mid400
6436.T,アマノ,機械,TOPIX Mid400
6448.T,ブラザー工業,電気機器,TOPIX Mid400
6457.T,グローリー,機械,TOPIX Mid400
6460.T,セガサミーホールディングス,機械,TOPIX Mid400
6465.T,ホシザキ,機械,TOPIX Mid400
6471.T,日本精工,機械,TOPIX Mid400
6472.T,ＮＴＮ,機械,TOPIX Mid400
6473.T,ジェイテクト,機械,TOPIX Mid400
6479.T,ミネベアミツミ,電気機器,TOPIX Mid400
6481.T,ＴＨＫ,機械,TOPIX Mid400
6501.T,日立製作所,電気機器,TOPIX Core30
6503.T,三菱電機,電気機器,TOPIX Core30
6504.T,富士電機,電気機器,TOPIX Mid400
6506.T,安川電機,電気機器,TOPIX Mid400
6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,TOPIX Mid400
6526.T,ソシオネクスト,電気機器,TOPIX Mid400
6532.T,ベイカレント,サービス業,TOPIX Mid400
6544.T,ジャパンエレベーターサービスホールディングス,サービス業,TOPIX Mid400
6586.T,マキタ,機械,TOPIX Mid400
6592.T,マブチモーター,電気機器,TOPIX Mid400
6632.T,ＪＶＣケンウッド,電気機器,TOPIX Mid400
6645.T,オムロン,電気機器,TOPIX Mid400
6674.T,ジーエス・ユアサ　コーポレーション,電気機器,TOPIX Mid400
6701.T,日本電気,電気機器,TOPIX Large70
6702.T,富士通,電気機器,TOPIX Large70
6707.T,サンケン電気,電気機器,TOPIX Mid400
6723.T,ルネサスエレクトロニクス,電気機器,TOPIX Large70
6724.T,セイコーエプソン,電気機器,TOPIX Mid400
6728.T,アルバック,電気機器,TOPIX Mid400
6752.T,パナソニック　ホールディングス,電気機器,TOPIX Large70
6753.T,シャープ,電気機器,TOPIX Mid400
6754.T,アンリツ,電気機器,TOPIX Mid400
6758.T,ソニーグループ,電気機器,TOPIX Core30
6762.T,ＴＤＫ,電気機器,TOPIX Large70
6770.T,アルプスアルパイン,電気機器,TOPIX Mid400
6806.T,ヒロセ電機,電気機器,TOPIX Mid400
6841.T,横河電機,電気機器,TOPIX Mid400
6845.T,アズビル,電気機器,TOPIX Mid400
6849.T,日本光電工業,電気機器,TOPIX Mid400
6856.T,堀場製作所,電気機器,TOPIX Mid400
6857.T,アドバンテスト,電気機器,TOPIX Core30
6861.T,キーエンス,電気機器,TOPIX Core30
6869.T,シスメックス,電気機器,TOPIX Mid400
6902.T,デンソー,輸送用機器,TOPIX Large70
6920.T,レーザーテック,電気機器,TOPIX Large70
